file,real_seconds,user_seconds,sys_seconds,cpu_seconds
aws_aws-sdk-java-v2__new-module-verification.yml,0.21,0.38,0.0,0.38
aws_aws-sdk-java-v2__s3-regression-tests.yml,0.22,0.35,0.04,0.39
aws_aws-sdk-java-v2__stale-issue.yml,0.23,0.36,0.04,0.4
aws_aws-sdk-java__closed-issue-message.yml,0.22,0.39,0.02,0.41
aws_aws-sdk-java__issue-regression-labeler.yml,0.22,0.38,0.02,0.4
aws_aws-sdk-java__stale-issue.yml,0.25,0.43,0.03,0.46
aws_aws-sdk-js-v3__closed-issue-message.yml,0.22,0.35,0.03,0.38
aws_aws-sdk-js-v3__codegen-ci.yml,0.22,0.33,0.04,0.37
aws_aws-sdk-js-v3__commit-message-lint.yml,0.21,0.37,0.01,0.38
aws_aws-sdk-js-v3__git-sync.yml,0.24,0.38,0.04,0.42
aws_aws-sdk-js-v3__handle-stale-discussions.yml,0.25,0.38,0.07,0.45
aws_aws-sdk-js-v3__issue-regression-labeler.yml,0.22,0.38,0.02,0.4
aws_aws-sdk-js-v3__lock.yml,0.21,0.33,0.04,0.37
aws_aws-sdk-js-v3__pre-commit-hooks.yml,0.22,0.36,0.02,0.38
aws_aws-sdk-js-v3__pull-request-build.yml,0.21,0.35,0.04,0.39
aws_aws-sdk-js-v3__stale_issues.yml,0.23,0.35,0.07,0.42
aws_aws-sdk-js__git-sync.yml,0.22,0.38,0.01,0.39
aws_aws-sdk-js__handle-stale-discussions.yml,0.22,0.37,0.02,0.39
aws_aws-sdk-js__issue-regression-labeler.yml,0.22,0.38,0.0,0.38
aws_aws-sdk-js__stale_issues.yml,0.21,0.31,0.08,0.39
aws_aws-sdk-php__closed-issue-message.yml,0.24,0.35,0.06,0.41
aws_aws-sdk-php__coverage.yml,0.21,0.36,0.01,0.37
aws_aws-sdk-php__docs-build.yml,0.21,0.35,0.02,0.37
